resample_id,net_pnl
508,162.4841982184442
509,272.66931175810083
510,187.70773421586472
511,151.3087838400736
512,202.7316578487643
513,140.25105821117344
514,142.5989682791031
515,263.9704247929343
516,198.67065954531233
517,159.15056236277948
518,157.21506274780762
519,223.5658050040895
520,345.958329790976
521,184.1398925687037
522,275.2464049576128
523,164.71316246152037
524,204.41790397431294
525,149.45633282043565
526,144.50985666502575
527,235.57179184673464
528,159.125282633988
529,225.58516972046354
530,196.85942794875533
531,163.94737198026806
532,162.69899556053264
533,149.34701150207437
534,173.96297327764475
535,219.9552856420371
536,173.78333014300668
537,142.51040332172775
538,229.00913066346766
539,177.98232778469009
540,113.04582403236715
541,289.27487000512355
542,202.06633038521312
543,221.66260882069795
544,155.46792567667057
545,231.91911179906066
546,190.56055270410528
547,208.37602036886005
548,177.96532048085228
549,203.72182580677224
550,294.2825088098546
551,206.5941177186964
552,222.93755106430777
553,202.74347734484004
554,176.93112890726013
555,164.3472257333286
556,246.96801387720905
557,192.20773469108642
558,141.01170740339435
559,241.58299352814245
560,177.2056273091767
561,160.09619270227662
562,203.07090080015595
563,163.03409025577182
564,197.95048418899145
565,220.71671196101036
566,208.34356847907947
567,201.04726597988028
568,105.83245919859115
569,189.4334714662625
570,185.57098987201627
571,134.59397324800304
572,256.9870748884994
573,251.4010209070436
574,150.41105948527405
575,197.76426513121348
576,184.27899767291763
577,117.30663502132015
578,201.42914004335262
579,163.30267537565382
580,203.175226723936
581,195.75067215997655
582,198.05858772250173
583,154.04887369096946
584,199.66736297671872
585,152.00923236920855
586,234.9194649750959
587,219.83343068414814
588,181.36450363559874
589,195.4945493601111
590,187.29242956037012
591,182.73548280069673
592,207.62640935166087
593,106.6309936976993
594,168.53556083650932
595,266.8207651996685
596,257.4176823649879
597,210.5765515520585
598,94.70018924994099
599,140.3503671915515
600,120.27114122688948
601,170.97956143060682
602,136.5985246647726
603,204.5814810044547
604,225.83736809972214
605,202.418895176114
606,224.4737398501902
607,191.20945696703606
608,151.41574313442675
609,178.11886887522945
610,173.47381517524045
611,232.1510239067945
612,209.13907852043258
613,214.30407311929395
614,185.98840475324016
615,253.79662503275657
616,269.286638586937
617,211.68588555786337
618,184.90181117372921
619,190.2461665666485
620,196.50040748454884
621,198.98659343169263
622,154.04057462725433
623,216.06347083503823
624,114.94766365402945
625,143.2609975444659
626,193.12984773730977
627,225.25111111721955
628,128.28094572073152
629,170.32769671586485
630,196.97971293180007
631,117.96605155144354
