edge_threshold,price_filter,prob_source,size_style,cost_model,n_trades,win_rate,avg_edge,gross_pnl,net_pnl,risk,roi_on_risk,max_drawdown,best_city,worst_city,best_strike_zone,worst_strike_zone
0.03,0.15-0.85,model_prob_recal,dollar_risk_1,gross,333,0.6816816816816816,0.25372791885361,110.78015454753061,110.78015454753061,333.0,0.3326731367793712,10.252917557510766,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,model_prob_recal,dollar_risk_1,spread_2c,333,0.6816816816816816,0.25372791885361,110.78015454753061,96.61276279925112,333.0,0.2901284168145679,11.089023335851188,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,model_prob_recal,dollar_risk_1,fee_kalshi,333,0.6816816816816816,0.25372791885361,110.78015454753061,100.46495454753062,333.0,0.3016965602027947,10.884667557510756,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,model_prob_recal,kelly_quarter,gross,333,0.6816816816816816,0.25372791885361,17988.77762459829,17988.77762459829,53412.629166708124,0.33678884386036967,1122.2132985057494,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,model_prob_recal,kelly_quarter,spread_2c,333,0.6816816816816816,0.25372791885361,17988.77762459829,15972.2928033687,53412.629166708124,0.29903588444442586,1211.2128764307263,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,model_prob_recal,kelly_quarter,fee_kalshi,333,0.6816816816816816,0.25372791885361,17988.77762459829,16510.178177478876,53412.629166708124,0.30910626260220875,1182.0945195138343,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,flat_1,gross,318,0.6918238993710691,0.1317479439502348,43.52,43.52,176.48,0.24660018132366276,3.3700000000000045,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,flat_1,spread_2c,318,0.6918238993710691,0.1317479439502348,43.52,37.16,176.48,0.21056210335448775,3.790000000000001,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,flat_1,fee_kalshi,318,0.6918238993710691,0.1317479439502348,43.52,38.8220305,176.48,0.21997977391205803,3.6758930000000003,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,dollar_risk_1,gross,318,0.6918238993710691,0.1317479439502348,115.0358538999551,115.0358538999551,318.0,0.3617479682388525,9.252917557510766,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,dollar_risk_1,spread_2c,318,0.6918238993710691,0.1317479439502348,115.0358538999551,101.41547958099164,318.0,0.31891660245594855,10.05596548461152,miami,chicago,bin_between,threshold_less
