city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
boston,2026-05-02,KXHIGHTBOS-26MAY02-B60.5,20,31,1777751700,,0.0,0.01,0.005,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B56.5,4,21,1777694220,,0.27,0.29,0.28,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-B56.5,12,31,1777723200,0.33,0.32,0.33,0.325,1.44
boston,2026-05-02,KXHIGHTBOS-26MAY02-B56.5,20,58,1777752000,0.5,0.5,0.59,0.5449999999999999,27.0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T63,4,27,1777694400,0.02,0.02,0.03,0.025,3.0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T63,12,6,1777723140,,0.01,0.02,0.015,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T63,20,28,1777751700,,0.0,0.01,0.005,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T56,4,32,1777694400,,0.28,0.3,0.29000000000000004,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T56,12,31,1777723200,,0.28,0.29,0.28500000000000003,0
boston,2026-05-02,KXHIGHTBOS-26MAY02-T56,20,59,1777752000,0.53,0.44,0.54,0.49,44.0
nyc,2026-05-03,KXHIGHNY-26MAY03-B65.5,4,16,1777780500,,0.01,0.02,0.015,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B65.5,12,29,1777809540,,0.01,0.02,0.015,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B65.5,20,16,1777838220,,0.0,0.01,0.005,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B63.5,4,21,1777780680,,0.02,0.03,0.025,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B63.5,12,45,1777809420,,0.02,0.03,0.025,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B63.5,20,16,1777836780,,0.0,0.02,0.01,0
nyc,2026-05-03,KXHIGHNY-26MAY03-T59,4,43,1777780680,,0.18,0.19,0.185,0
nyc,2026-05-03,KXHIGHNY-26MAY03-T59,12,52,1777809420,0.22,0.2,0.22,0.21000000000000002,10.33
nyc,2026-05-03,KXHIGHNY-26MAY03-T59,20,59,1777838400,0.09,0.09,0.14,0.115,9.58
nyc,2026-05-03,KXHIGHNY-26MAY03-T66,4,3,1777780320,0.02,0.0,0.02,0.01,12.0
nyc,2026-05-03,KXHIGHNY-26MAY03-T66,12,7,1777809300,,0.0,0.01,0.005,0
nyc,2026-05-03,KXHIGHNY-26MAY03-T66,20,24,1777838340,,0.0,0.01,0.005,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B61.5,4,34,1777780620,,0.39,0.4,0.395,0
